Language,original,german,english,czech,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
rl_coordinates,Coordinates:,Koordinaten:,Coordinates:,Coordinates:,Coordinates:,Współrzędne:,Coordinates:,Coordinates:,Coordenadas:,Coordinates:,Coordinates:,协调:,Coordinates:,协调:
rl_gametime,Gametime:,Spielzeit:,Gametime:,Gametime:,Gametime:,Czas gry:,Gametime:,Gametime:,Tiempo de Juego:,Gametime:,Gametime:,游戏时间:,Gametime:,游戏时间:
rl_servertime,ServerTime:,Server-Zeit:,ServerTime:,ServerTime:,ServerTime:,Czas serwera:,ServerTime:,ServerTime:,Hora in game:,ServerTime:,ServerTime:,服务器时间:,ServerTime:,服务器时间:
rl_marker_list,Marker List:,Marker Liste:,Marker List:,Marker List:,Marker List:,Lista znaczników:,Marker List:,Marker List:,Lista de marcas:,Marker List:,Marker List:,标记列表:,Marker List:,标记列表:
rl_layout_styles,Layout Styles,Layoutstile,Layout Styles,Layout Styles,Layout Styles,Styl layoutu,Layout Styles,Layout Styles,Estilo del diseño,Layout Styles,Layout Styles,布局样式,Layout Styles,布局样式
rl_layout_positions,Layout Positions,Layoutpositionen,Layout Positions,Layout Positions,Layout Positions,Pozycja layoutu,Layout Positions,Layout Positions,Posicion del diseño,Layout Positions,Layout Positions,布局位置,Layout Positions,布局位置
rl_color_settings,Color Settings,Farbeinstellungen,Color Settings,Color Settings,Color Settings,Ustawienia koloru,Color Settings,Color Settings,Configuracion del color,Color Settings,Color Settings,颜色设置,Color Settings,颜色设置
rl_misc,Misc,Misc,Misc,Misc,Misc,Inne,Misc,Misc,Misc,Misc,Misc,杂项,Misc,杂项
rl_available,Available:,Verfügbar:,Available:,Available:,Available:,Dostępne:,Available:,Available:,Disponible:,Available:,Available:,可用:,Available:,可用:
rl_pick_style,Pick Style:,Style wählen,Pick Style:,Pick Style:,Pick Style:,Wybierz styl:,Pick Style:,Pick Style:,Elegir estilo:,Pick Style:,Pick Style:,挑选风格:,Pick Style:,挑选风格:
rl_default,Default,Standard,Default,Default,Default,Domyślny,Default,Default,Por defecto,Default,Default,默认的,Default,默认的
rl_preview,Preview:,Vorschau:,Preview:,Preview:,Preview:,Podgląd:,Preview:,Preview:,Visualizar:,Preview:,Preview:,预览:,Preview:,预览:
rl_positionX,X Position:,X Position:,X Position:,X Position:,X Position:,Pozycja X:,X Position:,X Position:,Posicion X:,X Position:,X Position:,X 位置:,X Position:,X 位置:
rl_positionY,Y Position:,Y Position:,Y Position:,Y Position:,Y Position:,Pozycja Y:,Y Position:,Y Position:,Posicion Y:,Y Position:,Y Position:,Y 位置:,Y Position:,Y 位置:
rl_invertX,Invert X,X Invertieren,Invert X,Invert X,Invert X,Odwróć X,Invert X,Invert X,Invertir X,Invert X,Invert X,反方向 X,Invert X,反方向 X
rl_invertY,Invert Y,Y Invertieren,Invert Y,Invert Y,Invert Y,Odwróć Y,Invert Y,Invert Y,Invertir Y,Invert Y,Invert Y,反方向 Y,Invert Y,反方向 Y
rl_color_picker,Color Picker:,Farbe wählen:,Color Picker:,Color Picker:,Color Picker:,Paleta kolorów:,Color Picker:,Color Picker:,Selector de color:,Color Picker:,Color Picker:,颜色选择:,Color Picker:,颜色选择:
rl_value_0_255,Value (0-255):,Wert (0-255):,Value (0-255):,Value (0-255):,Value (0-255):,Wartość (0-255):,Value (0-255):,Value (0-255):,Valor (0-255):,Value (0-255):,Value (0-255):,数值 (0-255):,Value (0-255):,数值 (0-255):
rl_channel_alpha,Alpha Channel (transparency):,Alpha Kanal (Transparenz):,Alpha Channel (transparency):,Alpha Channel (transparency):,Alpha Channel (transparency):,Kanał Alpha (przeźroczystość):,Alpha Channel (transparency):,Alpha Channel (transparency):,Canal Alpha (transparencia):,Alpha Channel (transparency):,Alpha Channel (transparency):,阿尔法 频道 (透明度):,Alpha Channel (transparency):,阿尔法 频道 (透明度):
rl_channel_red,Red Channel:,Roter Kanal:,Red Channel,Red Channel,Red Channel,Kanał Czerwony:,Red Channel,Red Channel,Canal rojo,Red Channel,Red Channel,红色 频道:,Red Channel,红色 频道:
rl_channel_green,Green Channel:,Grüner Kanal:,Green Channel:,Green Channel:,Green Channel:,Kanał Zielony:,Green Channel:,Green Channel:,Canal verde:,Green Channel:,Green Channel:,绿色 频道:,Green Channel:,绿色 频道:
rl_channel_blue,Blue Channel:,Blauer Kanal:,Blue Channel:,Blue Channel:,Blue Channel:,Kanał Niebieski:,Blue Channel:,Blue Channel:,Canal azul:,Blue Channel:,Blue Channel:,蓝色 频道:,Blue Channel:,蓝色 频道:
rl_enable_playerlist_info,"Enable PlayerList (default Toggle Keybind: ""U"")","Playerlist Aktivieren (Standard Key: ""U""","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Włącz listę graczy (domyślnie: U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Habilitar Lista de jugadores (tecla por defecto: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","启用 玩家列表 (默认切换 按键: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","启用 玩家列表 (默认切换 按键: ""U"")"
rl_enable_compass_info,"Enable Compass (default Toggle Keybind: ""H"")","Kompass Aktivieren (Standard Key: ""H""","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Włącz kompas (domyślnie: H"")","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Habilitar Brujula (Tecla por defecto: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","启用 罗盘 (默认的 切换 按键: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","启用 罗盘 (默认的 切换 按键: ""H"")"
rl_ping_marker_icon,Ping Marker Icon:,Ping Marker Icon:,Ping Marker Icon:,Ping Marker Icon:,Ping Marker Icon:,Ikona szybkiego znacznika:,Ping Marker Icon:,Ping Marker Icon:,Icono de marcador del ping:,Ping Marker Icon:,Ping Marker Icon:,Ping 标记 图标:,Ping Marker Icon:,Ping 标记 图标:
rl_misc_warning_1,Values are only changed for this session !,Die Einstellungen bleiben nur bis zum Neustart erhalten !,Values are only changed for this session !,Values are only changed for this session !,Values are only changed for this session !,Wartości są tylko zmieniane dla tej sesji !,Values are only changed for this session !,Values are only changed for this session !,¡Los valores solo se cambian para esta sesion!,Values are only changed for this session !,Values are only changed for this session !,值仅在此会话中更改!,Values are only changed for this session !,值仅在此会话中更改!
rl_misc_warning_2,Press Save for persistent save,"Drücke speichern, für dauerhaft gespeicherte Einstellungen",Press Save for persistent save,Press Save for persistent save,Press Save for persistent save,"Kliknij Zapisz, aby zapisać ustawienia",Press Save for persistent save,Press Save for persistent save,Presione Guardar para guardar de forma permanente,Press Save for persistent save,Press Save for persistent save,按保存进行持久保存,Press Save for persistent save,按保存进行持久保存
rl_misc_reset_all,Reset All,Zurücksetzen,Reset All,Reset All,Reset All,Zresetuj ustawienia,Reset All,Reset All,Reiniciar todo,Reset All,Reset All,重置所有,Reset All,重置所有
rl_misc_reload_cfg,Reload Config,Neu Laden,Reload Config,Reload Config,Reload Config,Przeładuj ustawienia,Reload Config,Reload Config,Recargar configuracion,Reload Config,Reload Config,重新加载配置,Reload Config,重新加载配置
rl_misc_save_cfg,Save,Speichern,Save,Save,Save,Zapisz,Save,Save,Guardar,Save,Save,保存,Save,保存
rl_message_allowedChars,Group Name and Tag must not contain any Special Characters !,Guppenname und Tag darf keine Spezialzeichen enthalten !,Group Name and Tag must not contain any Special Characters !,Group Name and Tag must not contain any Special Characters !,Group Name and Tag must not contain any Special Characters !,Nazwa grupy i tag nie może zawierać specjalnych znaków !,Group Name and Tag must not contain any Special Characters !,Group Name and Tag must not contain any Special Characters !,El nombre del clan y el Tag no pueden contener caracteres !,Group Name and Tag must not contain any Special Characters !,Group Name and Tag must not contain any Special Characters !,组名和标签不能包含特殊字符!,Group Name and Tag must not contain any Special Characters !,组名和标签不能包含特殊字符!
rl_message_nameTaken,Group Name is already taken !,Gruppenname bereits vergeben !,Group Name is already taken !,Group Name is already taken !,Group Name is already taken !,Nazwa grupy jest już zajęta !,Group Name is already taken !,Group Name is already taken !,El nombre del Clan ya esta en uso !,Group Name is already taken !,Group Name is already taken !,组名已被占用!,Group Name is already taken !,组名已被占用!
rl_message_tagTaken,Group Tag is already taken !,Gruppentag bereits vergeben !,Group Tag is already taken !,Group Tag is already taken !,Group Tag is already taken !,Tag grupy jest już zajęty !,Group Tag is already taken !,Group Tag is already taken !,El TAg del clan ya esta en uso!,Group Tag is already taken !,Group Tag is already taken !,小组标签已被占用 !,Group Tag is already taken !,小组标签已被占用 !
rl_message_internalError,Internal Server Error,Interne Server Fehler,Internal Server Error,Internal Server Error,Internal Server Error,Internal Server Error,Internal Server Error,Internal Server Error,Error de servidor interno,Internal Server Error,Internal Server Error,内部服务器错误,Internal Server Error,内部服务器错误
rl_message_noEnoughMoney,No enough money ! Group creation costs:,Nicht genug Geld ! Gruppenerstellung kostet:,No enough money ! Group creation costs:,No enough money ! Group creation costs:,No enough money ! Group creation costs:,Nie wystarczająco pieniędzy ! Koszt utworzenia grupy:,No enough money ! Group creation costs:,No enough money ! Group creation costs:,No tienes suficiente dinero! Crear un clan cuesta:,No enough money ! Group creation costs:,No enough money ! Group creation costs:,没有足够的钱!组的创建成本:,No enough money ! Group creation costs:,没有足够的钱!组的创建成本:
rl_message_groupNotfound,Group was not found !,Gruppe nicht gefunden !,Group was not found !,Group was not found !,Group was not found !,Nie znaleziono grupy !,Group was not found !,Group was not found !,No se encontro el Clan!,Group was not found !,Group was not found !,没有找到组 !,Group was not found !,没有找到组 !
rl_message_inviteNotfound,Invite was not found !,Einladung nicht gefunden !,Invite was not fround !,Invite was not fround !,Invite was not fround !,Nie znaleziono zaproszenia !,Invite was not fround !,Invite was not fround !,No se encontro la invitacion !,Invite was not fround !,Invite was not fround !,未找到邀请 !,Invite was not fround !,未找到邀请 !
rl_message_groupSystem,Groupsystem,Gruppensystem,Groupsystem,Groupsystem,Groupsystem,Systemgrup,Groupsystem,Groupsystem,Sistema de Clan,Groupsystem,Groupsystem,小组系统,Groupsystem,小组系统
rl_message_noPermissionsMarker,You don't have the Permission to add Markers !,"Du hast keine Berechtigung, um Marker hinzuzufügen !",You don't have the Permission to add Markers !,You don't have the Permission to add Markers !,You don't have the Permission to add Markers !,"Nie posiadasz wystarczających permisji, aby dodać znacznik !",You don't have the Permission to add Markers !,Bo tienes permisos para añadir marcas !,You don't have the Permission to add Markers !,You don't have the Permission to add Markers !,You don't have the Permission to add Markers !,您没有“添加标记的权限” !,You don't have the Permission to add Markers !,您没有“添加标记的权限” !
rl_message_markerLimitReached,Marker Limit Reached !,Marker Limit erreicht !,Marker Limit Reached !,Marker Limit Reached !,Marker Limit Reached !,Osiągnieto limit znaczników !,Marker Limit Reached !,Marker Limit Reached !,Limite maximo de marcas alcanzado!,Marker Limit Reached !,Marker Limit Reached !,标记限制达到 !,Marker Limit Reached !,标记限制达到 !
rl_message_noPermissionsRemove,You don't have the Permission to remove Markers !,"Du hast keine Berechtigung, um Marker zu löschen !",You don't have the Permission to remove Markers !,You don't have the Permission to remove Markers !,You don't have the Permission to remove Markers !,"Nie posiadasz wystarczających permisji, aby usunąć znacznik !",You don't have the Permission to remove Markers !,You don't have the Permission to remove Markers !,No tienes permiso para eliminar marcas!,You don't have the Permission to remove Markers !,You don't have the Permission to remove Markers !,你没有移除标记的许可 !,You don't have the Permission to remove Markers !,你没有移除标记的许可 !
rl_message_noPermissionsInvite,You Don't have the Permission to invite Players !,"Du hast keine Berechtigung, um Spieler einzuladen !",You Don't have the Permission to invite Players !,You Don't have the Permission to invite Players !,You Don't have the Permission to invite Players !,"Nie posiadasz wystarczających permisji, aby zaprosić gracza !",You Don't have the Permission to invite Players !,You Don't have the Permission to invite Players !,No tienes permisos para invitar jugadores !,You Don't have the Permission to invite Players !,You Don't have the Permission to invite Players !,你没有邀请玩家的许可 !,You Don't have the Permission to invite Players !,你没有邀请玩家的许可 !
rl_message_noPermissionsPromote,You don't have the Permission to Promote This Player !,"Du hast keine Berechtigung, um den Spieler zu befördern !",You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,"Nie posiadasz wystarczających permisji, aby awansować gracza !",You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,You don't have the Permission to Promote This Player !,您没有提升此玩家的权限 !,You don't have the Permission to Promote This Player !,您没有提升此玩家的权限 !
rl_message_noPermissionsDemote,You don't have the Permission to Demote This Player !,"Du hast keine Berechtigung, umd den Spieler zu degradieren !",You don't have the Permission to Demote This Player !,You don't have the Permission to Demote This Player !,You don't have the Permission to Demote This Player !,"Nie posiadasz wystarczających permisji, aby zdegradować gracza !",You don't have the Permission to Demote This Player !,You don't have the Permission to Demote This Player !,No tienes permisos para ascender a este jugador!,You don't have the Permission to Demote This Player !,You don't have the Permission to Demote This Player !,您没有降级此玩家的权限 !,You don't have the Permission to Demote This Player !,您没有降级此玩家的权限 !
rl_message_noPermissionsKick,You don't have the Permission to Kick This Player !,"Du hast keine Berechtigung, um den Spieler rauszuschmeißen !",You don't have the Permission to Kick This Player !,You don't have the Permission to Kick This Player !,You don't have the Permission to Kick This Player !,"Nie posiadasz wystarczających permisji, aby wyrzucić gracza !",You don't have the Permission to Kick This Player !,You don't have the Permission to Kick This Player !,No tienes permisos para expulsar a este jugador !,You don't have the Permission to Kick This Player !,You don't have the Permission to Kick This Player !,你没有踢这个球员的权限 !,You don't have the Permission to Kick This Player !,你没有踢这个球员的权限 !
rl_message_noPermissionsUpgrade,You don't have the Permission to Upgrade the Group !,"Du hast keine Berechtigung, um die Gruppe zu erweitern !",You don't have the Permission to Upgrade the Group !,You don't have the Permission to Upgrade the Group !,You don't have the Permission to Upgrade the Group !,"Nie posiadasz wystarczających permisji, aby ulepszyć grupę !",You don't have the Permission to Upgrade the Group !,You don't have the Permission to Upgrade the Group !,No tienes permisos paa ascender el Clan !,You don't have the Permission to Upgrade the Group !,You don't have the Permission to Upgrade the Group !,您没有升级组的权限 !,You don't have the Permission to Upgrade the Group !,您没有升级组的权限 !
rl_message_maxLevelReached,Max Level Reached !,Höchstes Level erreicht !,Max Level Reached !,Max Level Reached !,Max Level Reached !,Osiągnięto maksymalny poziom !,Max Level Reached !,Max Level Reached !,Nivel maximo alcanzado!,Max Level Reached !,Max Level Reached !,达到最大水平 !,Max Level Reached !,达到最大水平 !
rl_message_playerNotFound,Unable to find Selected Player !,Ausgewählter Spieler wurde nicht gefunden !,Unable to find Selected Player !,Unable to find Selected Player !,Unable to find Selected Player !,Nie udało się znaleźć gracza !,Unable to find Selected Player !,Unable to find Selected Player !,No se pudo encontrar al jugador seleccionado !,Unable to find Selected Player !,Unable to find Selected Player !,找不到选定的玩家 !,Unable to find Selected Player !,找不到选定的玩家 !
rl_message_alreadyInGroup,Player is already in a Group !,Der Spieler ist bereits in einer Gruppe !,Player is already in a Group !,Player is already in a Group !,Player is already in a Group !,Gracz należy aktualnie do grupy !,Player is already in a Group !,Player is already in a Group !,El jugador ya esta en el Clan!,Player is already in a Group !,Player is already in a Group !,玩家已经在一个组中 !,Player is already in a Group !,玩家已经在一个组中 !
rl_message_invited,Player Invited,Spieler eingeladen,Player Invited,Player Invited,Player Invited,Gracz zaproszony,Player Invited,Player Invited,Jugador invitado,Player Invited,Player Invited,邀请玩家,Player Invited,邀请玩家
rl_message_groupFull,Group is full !,Die Gruppe ist voll !,Group is full !,Group is full !,Group is full !,Grupa jest pełna !,Group is full !,Group is full !,El clan esta completo!,Group is full !,Group is full !,团体已满 !,Group is full !,团体已满 !
rl_message_subgroupJoined,You joined Subgroup:,Untergruppe beigetreten:,You joined Subgroup:,You joined Subgroup:,You joined Subgroup:,Dołączyłeś do podgrupy:,You joined Subgroup:,You joined Subgroup:,Te uniste al subgrupo :,You joined Subgroup:,You joined Subgroup:,你加入了小组:,You joined Subgroup:,你加入了小组:
rl_message_groupLeft,You left the Group,Gruppe verlassen:,You left the Group,You left the Group,You left the Group,Opuściłeś grupę,You left the Group,You left the Group,Saliste del Clan,You left the Group,You left the Group,你离开了小组,You left the Group,你离开了小组
rl_message_groupUpgraded,Group upgraded to Level:,Grupper erweitert auf Level:,Group upgraded to Level:,Group upgraded to Level:,Group upgraded to Level:,Ulepszono grupę do poziomu:,Group upgraded to Level:,Group upgraded to Level:,Clan ascendido a nivel:,Group upgraded to Level:,Group upgraded to Level:,组别提升至二级:,Group upgraded to Level:,组别提升至二级:
rl_message_settingsToDefault,Settings have all been reset to Default !,Alle Einstellungen auf Standard zurückgesetzt,Settings have all been reset to Default !,Settings have all been reset to Default !,Settings have all been reset to Default !,Przywrócono ustawienia do domyślnych !,Settings have all been reset to Default !,Settings have all been reset to Default !,Configuracion restaurada por defecto !,Settings have all been reset to Default !,Settings have all been reset to Default !,所有设置都已重置为默认值 !,Settings have all been reset to Default !,所有设置都已重置为默认值 !
rl_message_settingsSaved,Settings have been saved !,Einstellungen wurden gespeichert !,Settings have been saved !,Settings have been saved !,Settings have been saved !,Zapisano ustawienia !,Settings have been saved !,Settings have been saved !,Configuracion guardada !,Settings have been saved !,Settings have been saved !,设置已保存 !,Settings have been saved !,设置已保存 !
rl_message_settingsReloaded,Settings have been reloaded !,Einstellungen neu geladen !,Settings have been reloaded !,Settings have been reloaded !,Settings have been reloaded !,Przeładowano ustawienia !,Settings have been reloaded !,Settings have been reloaded !,Configuracion restaurada !,Settings have been reloaded !,Settings have been reloaded !,设置已重新加载!,Settings have been reloaded !,设置已重新加载!
rl_message_globalMarkerAdded,Global Marker added !,Globaler Marker hinzugefügt !,Global Marker added !,Global Marker added !,Global Marker added !,Global znacznik dodany !,Global Marker added !,Global Marker added !,Marca global añadida !,Global Marker added !,Global Marker added !,添加了全局标记 !,Global Marker added !,添加了全局标记 !
rl_message_markerNotFound,Marker not found !,Marker nicht gefunden !,Marker not found !,Marker not found !,Marker not found !,Znacznik nie znaleziony !,Marker not found !,Marker not found !,Marca no encontrada!,Marker not found !,Marker not found !,找不到标记 !,Marker not found !,找不到标记 !
rl_message_globalMarkerRemoved,Global Marker removed !,Globaler Marker gelöscht !,Global Marker removed !,Global Marker removed !,Global Marker removed !,Globalny znacznik usunięty !,Global Marker removed !,Global Marker removed !,Marca global eliminada !,Global Marker removed !,Global Marker removed !,删除全局标记 !,Global Marker removed !,删除全局标记 !
rl_message_groupNameBetween1,Group Name must be between,Gruppenname muss zwischen,Group Name must be between,Group Name must be between,Group Name must be between,Nazwa grupy musi zawierać,Group Name must be between,Group Name must be between,El nombre dl clan debe estar entre,Group Name must be between,Group Name must be between,组名必须介于,Group Name must be between,组名必须介于
rl_message_groupNameBetween2,and,und,and,and,and,a,and,and,y,and,and,和,and,和
rl_message_groupNameBetween3,characters !,Zeichen sein !,characters !,characters !,characters !,graczy !,characters !,characters !,caracteres !,characters !,characters !,人物 !,characters !,人物 !
rl_message_groupTagBetween1,Group Tag must be between,Gruppentag muss zwischen,Group Tag must be between,Group Tag must be between,Group Tag must be between,Tag grupy musi być pomiędzy,Group Tag must be between,Group Tag must be between,El Tag del clan debe estar entre,Group Tag must be between,Group Tag must be between,组标记必须介于,Group Tag must be between,组标记必须介于
rl_message_promotedRank,Rank,befördert,Rank,Rank,Rank,Rangi,Rank,Rank,Rango,Rank,Rank,等级,Rank,等级
rl_message_demotedRank,Rank,degradiert,Rank,Rank,Rank,Rangi,Rank,Rank,Rango,Rank,Rank,等级,Rank,等级
rl_message_promotedTo1,You Promoted,Du hast,You Promoted,You Promoted,You Promoted,Awansowałeś,You Promoted,You Promoted,Has ascendido,You Promoted,You Promoted,你升职了,You Promoted,你升职了
rl_message_promotedTo2,to,zum,to,to,to,do,to,to,a,to,to,到,to,到
rl_message_promotedTo3,You were Promoted to,Du wurdest zum,You were Promoted to,You were Promoted to,You were Promoted to,Zostałeś awansowany do,You were Promoted to,You were Promoted to,Fuiste ascendido a,You were Promoted to,You were Promoted to,你被提升为,You were Promoted to,你被提升为
rl_message_demotedTo1,You Demoted,Du hast,You Demoted,You Demoted,You Demoted,Zdegradowałeś,You Demoted,You Demoted,Degradado,You Demoted,You Demoted,你降级了,You Demoted,你降级了
rl_message_demotedTo3,You were Demoted to,Du wurdest zum,You were Demoted to,You were Demoted to,You were Demoted to,Zostałeś zdegradowany do,You were Demoted to,You were Demoted to,has sido degradado,You were Demoted to,You were Demoted to,你被降职了,You were Demoted to,你被降职了
rl_message_kick1,You Kicked,Du hast,You Kicked,You Kicked,You Kicked,Zostałeś wyrzucony,You Kicked,You Kicked,Has sido expulsado,You Kicked,You Kicked,你踢了,You Kicked,你踢了
rl_message_kick2,from your Group,aus der Gruppe geworfen,from your Group,from your Group,from your Group,Twojej grupy,from your Group,from your Group,De tu Clan,from your Group,from your Group,来自您的团队,from your Group,来自您的团队
rl_message_kick3,You were Kicked from,Du wurdest aus der Gruppe,You were Kicked from,You were Kicked from,You were Kicked from,Zostałeś wyrzucony z,You were Kicked from,You were Kicked from,Has sido expulsado de,You were Kicked from,You were Kicked from,你被开除了,You were Kicked from,你被开除了
rl_message_kick4,,geworfen,,,,,,,Expulsado,,,,,
rl_message_invite1,invited you to his Group,hat dich in seine Gruppe,invited you to his Group,invited you to his Group,invited you to his Group,zaprosił Cię do swojej grupy,invited you to his Group,invited you to his Group,Te invito a su Clan,invited you to his Group,invited you to his Group,邀请你参加他的小组,invited you to his Group,邀请你参加他的小组
